Model,source,exact_accuracy,mean_cfm
Final,a,0.3550488599348534,0.8055045577725864
Final,b,0.233502538071066,0.7992951673718517
Final,c,0.3169734151329243,0.8330916873906732
Final,d,0.33451957295373663,0.8174527960403675
Final,e,0.2984189723320158,0.7793487927769313
Final,f,0.3707865168539326,0.8229843732061356
Final,g,0.275,0.7808050615320351
Final,h,0.23030303030303031,0.8300625554561083
Final,i,0.40820980615735464,0.8328790254160691
Final,j,0.42857142857142855,0.7546703296703298
Final,k,0.3235294117647059,0.7426462630506748
Final,l,0.2976190476190476,0.8145869162217244
Final,m,0.28023598820059,0.8220723249020928
Final,n,0.2906110283159464,0.8262261905853957
Final,o,0.37960339943342775,0.8214560768059528
Final,p,0.24675324675324675,0.8339493276670977
Final,q,0.2857142857142857,0.795820449391878
Final,r,0.28550512445095166,0.81487148306857
Final,s,0.24725274725274726,0.8088223948989286
Final,t,0.22608695652173913,0.7868637385436615
Final,u,0.35789473684210527,0.8149256223622363
Final,v,0.25396825396825395,0.824944893850614
Final,w,0.3835616438356164,0.8306215474023694
Final,x,0.3333333333333333,0.8439320247653581
Final,y,0.23478260869565218,0.7885402474053369
Final,z,0.13513513513513514,0.826019926019926
Initial,a,0.05098493626882966,0.48996193083629275
Initial,b,0.033816425120772944,0.4593280086134665
Initial,c,0.03483606557377049,0.5217318069237827
Initial,d,0.021739130434782608,0.491385519495128
Initial,e,0.033648790746582544,0.48294778261560006
Initial,f,0.02247191011235955,0.5039565845154255
Initial,g,0.07352941176470588,0.5472935229028533
Initial,h,0.02967359050445104,0.5236509143292277
Initial,i,0.03894297635605007,0.4934085312893846
Initial,j,0.28125,0.5919930865702925
Initial,k,0.05970149253731343,0.4605883337226621
Initial,l,0.03696498054474708,0.49565374664354844
Initial,m,0.02849002849002849,0.46637533575776147
Initial,n,0.049586776859504134,0.5092403871972062
Initial,o,0.060382916053019146,0.5054240914234098
Initial,p,0.06818181818181818,0.5406944849595635
Initial,q,0.0,0.453421694046694
Initial,r,0.024709302325581394,0.49081097718041994
Initial,s,0.03225806451612903,0.493719839929378
Initial,t,0.028688524590163935,0.5000009656265109
Initial,u,0.033797216699801194,0.4753404634892856
Initial,v,0.00847457627118644,0.42113041633231063
Initial,w,0.2,0.5751710635043968
Initial,x,0.0,0.4865064565064565
Initial,y,0.04230769230769231,0.5091327005071349
Initial,z,0.0,0.5721962782384777
