Model,target,exact_accuracy,mean_cfm
Final,!,0.22641509433962265,0.8648399294625709
Final,"""",0.0,0.01499758103531688
Final,#,0.1276595744680851,0.7962512328669396
Final,$,0.18421052631578946,0.7524293353515497
Final,%,0.5,0.8607809848881277
Final,&,0.16666666666666666,0.7237655607600461
Final,',0.0,0.6070938232914289
Final,(,0.02857142857142857,0.5582144673188459
Final,),0.13043478260869565,0.7996877260321197
Final,*,0.06451612903225806,0.6622278721837339
Final,+,0.024390243902439025,0.6498596092222183
Final,",",0.16666666666666666,0.7553815265771787
Final,-,0.08928571428571429,0.6948021803075827
Final,.,0.3181818181818182,0.7584250410537176
Final,/,0.1590909090909091,0.7888710424305344
Final,0,0.24,0.8098468945242401
Final,1,0.4473684210526316,0.9205485581569527
Final,2,0.42857142857142855,0.8987560358918442
Final,3,0.3111111111111111,0.8607556640889974
Final,4,0.391304347826087,0.9101649416227421
Final,5,0.525,0.8848773448773448
Final,6,0.2553191489361702,0.8396298945109958
Final,7,0.22448979591836735,0.8588837034717491
Final,8,0.5,0.9057136899048664
Final,9,0.25,0.7950829778171531
Final,:,0.41379310344827586,0.8573380754922336
Final,;,0.19607843137254902,0.8283753908731144
Final,<,0.23076923076923078,0.6611385569026277
Final,=,0.23529411764705882,0.7754087611024951
Final,>,0.2978723404255319,0.8076127066601478
Final,?,0.37142857142857144,0.8503539317825032
Final,@,0.358974358974359,0.8556321171705787
Final,A,0.4146341463414634,0.882050076225301
Final,B,0.3372093023255814,0.871764646012702
Final,C,0.31343283582089554,0.8755494320203668
Final,D,0.35,0.876862822849665
Final,E,0.37777777777777777,0.8378617678617679
Final,F,0.36507936507936506,0.878567744795815
Final,G,0.2328767123287671,0.8457593106433177
Final,H,0.32432432432432434,0.8906713911189614
Final,I,0.29411764705882354,0.8898390008684126
Final,J,0.4489795918367347,0.9095967274688762
Final,K,0.410958904109589,0.8905513790581011
Final,L,0.36619718309859156,0.881022853837684
Final,M,0.37142857142857144,0.9026238782226177
Final,N,0.4810126582278481,0.9041625930121835
Final,O,0.1702127659574468,0.806188558347507
Final,P,0.288135593220339,0.8687697743156367
Final,Q,0.38028169014084506,0.9205387905601571
Final,R,0.40384615384615385,0.8824452508276038
Final,S,0.43661971830985913,0.8585908361177624
Final,T,0.38596491228070173,0.8974014807545034
Final,U,0.425531914893617,0.8877663707450941
Final,V,0.48936170212765956,0.9040060209498982
Final,W,0.49122807017543857,0.8732921075026338
Final,X,0.3389830508474576,0.8733332237864693
Final,Y,0.1724137931034483,0.8280817841903302
Final,Z,0.20253164556962025,0.8506018249341327
Final,[,0.09433962264150944,0.5777438842449941
Final,\,0.0,0.6896934277332173
Final,],0.20588235294117646,0.7745844770461139
Final,^,0.06666666666666667,0.7554613904613904
Final,_,0.06976744186046512,0.7003386858619417
Final,`,0.23076923076923078,0.8518477942060938
Final,a,0.358609794628752,0.8022761262537942
Final,b,0.2246376811594203,0.7907265631104079
Final,c,0.3150684931506849,0.8200595450897626
Final,d,0.3014354066985646,0.8184759089531929
Final,e,0.40025575447570333,0.8187824313137079
Final,f,0.30303030303030304,0.825579743093112
Final,g,0.23076923076923078,0.7925658574851059
Final,h,0.22560975609756098,0.8003600257545738
Final,i,0.3177570093457944,0.7943065052960601
Final,j,0.23655913978494625,0.8451801418469749
Final,k,0.40350877192982454,0.8247493380131476
Final,l,0.2560240963855422,0.792291762837918
Final,m,0.33689839572192515,0.8273598520961976
Final,n,0.2727272727272727,0.8124944302041349
Final,o,0.454,0.8340411573720398
Final,p,0.1951219512195122,0.7650987937658255
Final,q,0.32926829268292684,0.8636826210611844
Final,r,0.27320954907161804,0.8105054376042011
Final,s,0.2564102564102564,0.7918149406663785
Final,t,0.27245508982035926,0.8079946894803636
Final,u,0.3979933110367893,0.8087877655603408
Final,v,0.16666666666666666,0.8280655725771272
Final,w,0.25,0.8291198659623433
Final,x,0.4098360655737705,0.8556024516658685
Final,y,0.3602150537634409,0.8432711040277453
Final,z,0.29577464788732394,0.8236897841277993
Final,{,0.10526315789473684,0.659114950562319
Final,|,0.16216216216216217,0.7566049786638022
Final,},0.19607843137254902,0.780750218848233
Final,~,0.06451612903225806,0.7236932825353748
Initial,!,0.03773584905660377,0.5202554727629206
Initial,"""",0.0,0.2665249591729748
Initial,#,0.0425531914893617,0.4801964850044114
Initial,$,0.05263157894736842,0.5296781005372336
Initial,%,0.047619047619047616,0.5709876413657926
Initial,&,0.020833333333333332,0.46164961675271776
Initial,',0.0,0.3736356880008243
Initial,(,0.0,0.5474429118966935
Initial,),0.0,0.5042954471158133
Initial,*,0.04838709677419355,0.5300200212445543
Initial,+,0.07317073170731707,0.5362420777054924
Initial,",",0.020833333333333332,0.5279574870935165
Initial,-,0.0,0.5134985096563366
Initial,.,0.045454545454545456,0.5098899634468168
Initial,/,0.09090909090909091,0.4824384580066398
Initial,0,0.1,0.4834344642285819
Initial,1,0.05263157894736842,0.597035072966965
Initial,2,0.017857142857142856,0.5658950185245243
Initial,3,0.022222222222222223,0.5284789212240193
Initial,4,0.0,0.4657057030778259
Initial,5,0.05,0.4322068903318903
Initial,6,0.06382978723404255,0.5047387426924348
Initial,7,0.02040816326530612,0.548088366916951
Initial,8,0.06818181818181818,0.494200140323135
Initial,9,0.0,0.4644849065408276
Initial,:,0.06896551724137931,0.4351361873420697
Initial,;,0.0392156862745098,0.4925114102426978
Initial,<,0.0,0.4284997493707901
Initial,=,0.058823529411764705,0.4219419733476827
Initial,>,0.0425531914893617,0.397640569934742
Initial,?,0.08571428571428572,0.6051014858157715
Initial,@,0.05128205128205128,0.423187967135931
Initial,A,0.0,0.45678141716992426
Initial,B,0.046511627906976744,0.5916717047382503
Initial,C,0.029850746268656716,0.5143072341174324
Initial,D,0.016666666666666666,0.5977739921470572
Initial,E,0.0,0.4110209543542877
Initial,F,0.0,0.5573957294582387
Initial,G,0.0136986301369863,0.5242758146613271
Initial,H,0.05405405405405406,0.5568930853365165
