Model,length,exact_accuracy,mean_cfm
Final,2,0.6666666666666666,0.7777777777777778
Final,3,0.879286694101509,0.9349794238683128
Final,4,0.3008356545961003,0.6889894769421232
Final,5,0.22758620689655173,0.69247982541086
Final,6,0.22948717948717948,0.7237870504376914
Final,7,0.2239208633093525,0.7428528844706916
Final,8,0.29404466501240695,0.7960168999993191
Final,9,0.269183922046285,0.7952158337422948
Final,10,0.3242424242424242,0.8432791007328603
Final,11,0.3487179487179487,0.8499273008477869
Final,12,0.3127208480565371,0.8596748569788328
Final,13,0.3075801749271137,0.8679805263350561
Final,14,0.3,0.8585391565970371
Final,15,0.1912751677852349,0.853913962975333
Final,16,0.20121951219512196,0.8539598528274176
Final,17,0.10555555555555556,0.8322220648211976
Final,18,0.059782608695652176,0.8125243184998342
Final,19,0.05263157894736842,0.8145981899444503
Final,20,0.05952380952380952,0.7900594471652692
Final,21,0.06382978723404255,0.6532244294430035
Final,22,0.0,0.7682409619366142
Final,23,0.0,0.9583333333333334
Final,24,0.0,0.49010989010989015
Final,28,0.0,0.7983870967741935
Initial,2,0.39855072463768115,0.6280193236714976
Initial,3,0.12403100775193798,0.39341085271317827
Initial,4,0.0935672514619883,0.4913397129186603
Initial,5,0.07090464547677261,0.4547925994136263
Initial,6,0.036312849162011177,0.4505309479471491
Initial,7,0.02193419740777667,0.46483227086417517
Initial,8,0.02785923753665689,0.47771333220380147
Initial,9,0.023494860499265784,0.4570800814840722
Initial,10,0.040473840078973346,0.5213723426951462
Initial,11,0.03629536921151439,0.5269766117209435
Initial,12,0.038397328881469114,0.513489250609942
Initial,13,0.02715466351829988,0.5557634189509667
Initial,14,0.022132796780684104,0.5233744684715214
Initial,15,0.012213740458015267,0.5046738877868495
Initial,16,0.016574585635359115,0.4859704950398143
Initial,17,0.024630541871921183,0.5536469427456403
Initial,18,0.0,0.47028674834620504
Initial,19,0.0,0.4270035974954008
Initial,20,0.023809523809523808,0.5859184793812123
Initial,21,0.0,0.44294766819408754
Initial,22,0.0,0.5641743337651266
Initial,23,0.0,0.7251051893408134
Initial,24,0.0,0.5859406796906796
Initial,28,0.0,0.6209677419354839
