file_name,num_samples,overall_accuracy,acc_substitute,acc_remove,acc_add,acc_swap,acc_other,acc_difficulty_1,acc_difficulty_2,acc_difficulty_3,acc_difficulty_4,acc_difficulty_,acc_difficulty_None,acc_difficulty_nan
gemma31b.json,10000,8.27,2.84,26.88,2.99,0.36,0,17.88,5.68,4.4,5.12,,,
gemma_initial.json,10000,3.6,1.08,8.52,4.67,0.12,0,7.16,3.36,1.84,2.04,,,
llama3.2_results_with_predictions.json,11,9.09,0.0,33.33,0.0,0.0,0,,50.0,0.0,0.0,,,
llama3.2_swap_results.json,2500,1.0,0.0,0.0,0.0,1.0,0,0.48,1.6,1.44,0.48,,,
llama32latest_2.json,10000,4.51,5.6,8.45,3.11,0.88,0,5.6,5.08,3.88,3.48,,,
llama32latest_2_556.json,556,8.63,10.07,20.86,1.44,2.16,0,,,,,,,
llama3_1_swap_eval.json,2500,1.16,0.0,0.0,0.0,1.16,0,0.64,2.08,1.44,0.48,,,
llama3_2_editaware_final.json,556,7.19,11.51,15.11,1.44,0.72,0,,,,,,,
llama3_2_editaware_joinfix.json,556,23.74,46.76,43.88,2.16,2.16,0,,,,,,,
llama3_2_jsonl_editaware_joinfix.json,10000,24.64,49.0,43.32,4.39,1.84,0,24.36,25.56,24.12,24.52,,,
llama3_2_latest_annotated.json,100,5.0,6.67,13.64,0.0,0.0,0,0.0,7.14,3.45,5.56,,,
llama3_2_results.json,556,17.81,27.34,38.85,2.88,2.16,0,,,,,,,
llama3_2_test10k_addswap_finetuned.json,10000,31.11,44.8,64.12,12.57,2.93,0,36.72,31.68,28.24,27.8,,,
llama3_2_test10k_editaware_spaces.json,10000,24.7,52.0,39.0,6.62,1.16,0,24.24,25.8,23.96,24.8,,,
llama3_2_test10k_enhanced.json,10000,28.48,37.6,64.52,9.14,2.65,0,35.16,27.84,24.96,25.96,,,
llama3_2_test10k_swap_as_substitute.json,10000,21.13,35.44,40.48,8.26,0.32,0,31.64,21.04,15.32,16.52,,,
llama3_2_test10k_typeaware_optimized.json,10000,24.98,43.8,44.0,9.1,3.01,0,,,,,24.98,,
llama3_2_testcases_addswap_finetuned.json,556,30.58,50.36,53.24,12.95,5.76,0,,,,,,,
llama3_2_testcases_addswap_newrules.json,556,19.78,21.58,51.08,4.32,2.16,0,,,,,,,
llama3_2_testcases_addswap_optimized.json,556,13.67,17.27,25.9,8.63,2.88,0,,,,,,,
llama3_2_testcases_balanced.json,556,17.81,37.41,25.18,7.91,0.72,0,,,,,,,
llama3_2_testcases_editaware.json,556,7.01,11.51,15.11,1.44,0.0,0,,,,,,,
llama3_2_testcases_editaware_cleaned.json,556,30.58,50.36,53.24,12.95,5.76,0,,,,,,,
llama3_2_testcases_enhanced.json,556,30.22,46.76,50.36,14.39,9.35,0,,,,,,,
llama3_2_testcases_enhanced_v2.json,556,24.82,42.45,44.6,6.47,5.76,0,,,,,,,
llama3_2_testcases_reasoning_v1.json,556,19.24,36.69,33.81,1.44,5.04,0,,,,,,,
llama3_2_testcases_results.json,556,14.93,20.14,36.69,1.44,1.44,0,,,,,,,
llama3_2_testcases_selfconsistency.json,556,2.34,7.19,0.0,1.44,0.72,0,,,,,,,
llama3_tocad_swap_eval.json,0,,0.0,0.0,0.0,0.0,0,,,,,,,
llama_3_2_latest.json,10000,19.02,22.96,41.6,10.34,1.16,0,,,,,19.02,,
merged_eval_results.json,497140,17.75,29.46,35.21,7.29,1.73,0,18.51,15.89,13.52,14.1,25.02,19.85,20.72
mistrallatest.json,10000,8.04,11.59,12.61,6.26,1.68,0,7.24,9.44,7.12,8.36,,,
mistralresults.json,10000,6.11,11.03,8.37,4.55,0.48,0,7.24,6.96,4.52,5.72,,,
